"m_id","forename","surname","dob","dob_approx","dob_position","dod","age_y","STAT_spouse","STAT_sibling","STAT_parent","STAT_children","ETURL"
1,"Elisabeth Walton","Allen","1882-10-01",0,NULL,"1967-12-15",29,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/elisabeth-walton-allen.html"
2,"Hudson Joshua Creighton","Allison","1881-12-09",0,NULL,"1912-04-15",30,1,NULL,NULL,2,"https://www.encyclopedia-titanica.org/titanic-victim/hudson-joshua-creighton.html"
3,"Bess Waldo","Allison","1886-11-14",0,NULL,"1912-04-15",25,1,NULL,NULL,2,"https://www.encyclopedia-titanica.org/titanic-victim/bessie-waldo-allison.html"
4,"Helen Loraine","Allison","1909-06-05",0,NULL,"1912-04-15",2,NULL,1,2,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/loraine-allison.html"
5,"Hudson Trevor","Allison","1911-05-07",0,NULL,"1929-08-07",0,NULL,1,2,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/trevor-allison.html"
6,"Henry","Anderson","1869-10-20",0,NULL,"1951-11-23",42,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/harry-anderson.html"
7,"Cornelia Theodosia","Andrews","1849-08-12",0,NULL,"1913-12-04",62,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/kornelia-theodosia-andrews.html"
8,"Thomas","Andrews","1873-02-07",0,NULL,"1912-04-15",39,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/thomas-andrews.html"
9,"Charlotte","Appleton","1858-12-12",0,NULL,"1924-06-25",53,NULL,2,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/charlotte-appleton.html"
10,"Ramon","Artagaveytia","1840-07-14",0,NULL,"1912-04-15",71,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/ramon-artagaveytia.html"
11,"John Jacob","Astor","1864-07-13",0,NULL,"1912-04-15",47,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-victim/john-jacob-astor.html"
12,"Madeleine Talmage","Astor","1893-06-19",0,NULL,"1940-03-27",18,1,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/madeleine-talmage-astor.html"
13,"Léontine Pauline ","Aubart","1887-05-20",0,NULL,"1964-10-29",24,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/leontine-pauline-aubart.html"
14,"Ellen Mary","Barber","1885-08-31",0,NULL,"1963-05-02",26,NULL,NULL,NULL,NULL,"https://www.encyclopedia-titanica.org/titanic-survivor/ellen-nellie-barber.html"
